name,min_cycling_potential,min_grouped_cycling_potential,min_grouped_length,city_centre_buffer_radius,key_destination_buffer_radius,regexclude
Birmingham,0,100,500,8000,5000,"roundabout"
Bristol,0,100,500,8000,5000,"underpass|newfoundland"
Cambridge,0,100,100,8000,5000,"hills"
Leeds,0,100,500,8000,5000,"wellington"
Leicester,0,100,500,8000,5000,"roundabout"
Liverpool,0,100,500,8000,5000,""
London,0,100,500,8000,5000,"talgarth|whitechapel"
Manchester,0,100,500,8000,5000,"roundabout"
Newcastle,0,100,500,8000,5000,"Redheugh|Derwenthaugh|Interchange"
Portsmouth,0,100,500,8000,5000,"roundabout"
Sheffield,0,100,500,8000,5000,"roundabout"
