roa_number,length_km
A1,699438
A10,648
A1001,631
A1023,200
A1033,10397
A1053,4224
A1089,13093
A11,215866
A12,253975
A120,142015
A127,737
A13,33924
A14,555121
A14M,6092
A160,7509
A162,4613
A167,1105
A168,30095
A174,32282
A177,613
A180,54839
A184,5790
A19,274269
A194M,17189
A195M,1050
A1M,527904
A2,150720
A20,46606.2
A2070,25228
A21,97478
A23,77297
A249,41776
A259,42798
A26,8005
A27,234644
A282,30175
A3,204101
A30,441402
A303,292760
A308M,1941
A31,91826.1
A3113,3502
A312,508
A316,2622
A34,249623.8
A35,105255
A36,113528
A38,406961
A38M,2420
A3M,24430
A4,7813
A40,73195
A404,29354
A404M,10682
A405,3084
A4097,416
A41,2382
A4123,572
A414,10025
A417,53625
A419,72392.09
A42,57299
A421,77386
A423,1543
A428,47143
A43,88125
A435,646
A446,7719
A449,16211
A45,129362
A452,3151
A453,36810
A456,914
A458,15138
A46,365156
A47,291494
A483,18064
A49,109611
A494,13149
A5,335683
A50,167646
A500,60120.7
A5036,10944
A5103,5251
A5111,4993
A5117,1377
A5127,986
A5148,5858
A516,4923
A52,98649
A55,35884
A550,9119
A556,29309
A56,36266
A57,3423
A58,958
A580,1625
A585,21349
A59,1950
A590,77219
A595,35603
A6,13268
A6055,523
A61,3504
A616,21068
A62,1914
A627M,18375
A628,22645
A63,78534
A631,4153
A638,2294
A64,157136
A66,265559
A663,7400
A66M,7309
A68,488
A689,549
A69,128420
A690,592
A696,14311
A7,582
A74M,1477
M1,794666.5
M11,205090
M18,115853
M180,91762
M181,9842
M2,104589
M20,202330
M23,71721
M25,525400
M26,35866
M27,133019.7
M271,9323
M3,243062
M32,21211
M4,461041
M40,331244
M42,166812
M45,28532
M48,19892
M49,18535
M5,621573
M50,73541
M53,89566
M54,90005
M55,43937
M56,144248
M57,45758
M58,47931
M6,1017785
M60,186978
M602,16864
M606,14404
M61,101375
M62,408431
M621,44207
M65,90415
M66,34900
M67,17979
M69,61674
